time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-17 00:00:00+00:00,2.0,2.0,,
2024-02-18 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-02-19 00:00:00+00:00,3.0,3.0,4.0,2.0
2024-02-20 00:00:00+00:00,2.0,2.0,4.0,3.0
2024-02-21 00:00:00+00:00,2.0,2.0,26.0,4.0
2024-02-22 00:00:00+00:00,2.0,2.0,8.0,4.0
2024-02-23 00:00:00+00:00,2.0,2.0,70.0,4.0
2024-02-24 00:00:00+00:00,2.0,2.0,6.0,1.0
2024-02-25 00:00:00+00:00,2.0,2.0,1.0,1.0
2024-02-26 00:00:00+00:00,3.0,3.0,7.0,3.0
2024-02-27 00:00:00+00:00,2.0,2.0,3.0,2.0
2024-02-28 00:00:00+00:00,2.0,2.0,68.0,2.0
2024-02-29 00:00:00+00:00,2.0,2.0,6.0,3.0
2024-03-01 00:00:00+00:00,,,26.0,2.0
