time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-06 00:00:00+00:00,13,11,24,16
2023-09-07 00:00:00+00:00,38,31,68,51
2023-09-08 00:00:00+00:00,31,27,62,51
2023-09-09 00:00:00+00:00,26,24,46,32
2023-09-10 00:00:00+00:00,14,11,31,21
2023-09-11 00:00:00+00:00,12,9,30,19
2023-09-12 00:00:00+00:00,6,4,14,11
2023-09-13 00:00:00+00:00,7,6,16,11
2023-09-14 00:00:00+00:00,9,4,18,12
2023-09-15 00:00:00+00:00,10,7,17,12
2023-09-16 00:00:00+00:00,4,2,16,12
2023-09-17 00:00:00+00:00,3,1,17,11
2023-09-18 00:00:00+00:00,0,0,2,1
2023-09-19 00:00:00+00:00,6,5,15,2
2023-09-20 00:00:00+00:00,0,0,3,1
2023-09-22 00:00:00+00:00,0,0,3,1
2023-09-23 00:00:00+00:00,0,0,4,1
2023-09-24 00:00:00+00:00,5,4,6,1
2023-09-25 00:00:00+00:00,8,7,8,2
2023-09-26 00:00:00+00:00,1,1,0,0
2023-09-29 00:00:00+00:00,0,0,16,1
2023-09-30 00:00:00+00:00,0,0,1,1
2023-10-01 00:00:00+00:00,0,0,29,4
2023-10-02 00:00:00+00:00,22,10,59,3
2023-10-03 00:00:00+00:00,4,2,49,2
2023-10-04 00:00:00+00:00,4,3,20,1
